text,label,islenmis_text
allahım çıldıracağım yemin ederim çıldıracağım sinirimden yerden çıkaramıyorum cam çerçeve indireceğim varsa ,kizgin,allah çıldır yem ed çıldır sinir yer çıkar cam çerçeve indir var
site çalıştıda ürün stokları bitti diyor mal mısınız oğlum kandırıyorsunuz ,kizgin,sit çalıştıda ürün stok bit di mal mı oğl kandır
sebebi neydi bağıracağım kaldı ,kizgin,sebeb ne bağır kal
black friday amk çıkardınız bokuda mal mısınız nesiniz ,kizgin,black friday amk çıkar bokuda mal mı ne
kısa kısa cevaplar vericeksen yazıyorsun gerizekalı ,kizgin,kısa kısa cevapla vericeksen yaz gerizekalı
cinnet geçiriyorum iyice çıldırttılar ,kizgin,cinnet geçir iyi çıldır
allahım etraf beyinsiz kaynıyor çıldıracağım ,kizgin,allah etraf beyinsiz kayn çıldır
bok geçti sınavım çıldıracağım ,kizgin,bok geç sınav çıldır
allah kahretsin öfkeliyim diyecek söz bulamıyorum ,kizgin,allah kahret öfke di söz bul
gerçek gerizekalı deli kitle altına sıçmalı bokuyla oynamalı ,kizgin,gerçek gerizekalı deli kitle alt sıç bok oyna
allah belamı versin günün saati keyfim yerindeyse geri kalan saat sinir küpü oluyorum ,kizgin,allah bela ver gü saat keyf yerinde geri kal saat sinir küp ol
gün yaptığım stres sonucu olmamış davranan ailem tavırları delirtecek ,kizgin,gün yap stres sonuc ol davran aile tavır delir
erkekleri anlayamıyorum çıldıracağım ,kizgin,erkek anla çıldır
annemden babamdan nefret ediyorum ,kizgin,anne baba nefret ed
tek kelimeyle herşeyin düzeleceğini sanan aptallar nefret ediyorum ,kizgin,tek kelime herşey düzel san aptal nefret ed
kitaba tl verdiğim gerizekalı diyen kişilerin ruja tl vermesi kaçıncı level ,kizgin,kitab tl ver gerizekalı di kişi ruj tl ver kaçıncı level
lan olum lan gerizekalısınız lan sinirlendim ,kizgin,lan o lan gerizekalı lan sinirlen
lan çikolatalı sütüm bak sinirlendim ,kizgin,lan çikolata süt bak sinirlen
zerre umursamayan insanlar deli üzülüyorsunuz mal mısınız ,kizgin,zerr umursa insan deli üzül mal mı
kendimi karşıma alıp konuşmak istiyorum bak gerizekalı iş olmaz ,kizgin,kendi karşı al konuş ist bak gerizekalı iş olmaz
yarın uyumadığım dakika kendime küfür edeceğim ,kizgin,yarın uyu dakika kendi küfür ed
takip atıyorum gt atmıyorsunuz sövüyorum ,kizgin,takip at gt at söv
allah belanı versin tudor cehennemde yan nerden geldin başımıza kardeşim ,kizgin,allah bela ver tudor cehennem yan ner gel baş kardeş
lan padişah bağırıyor gerizekalılar ,kizgin,lan padişah bağır gerizekalı
susmasam sesimde delireceğim ,kizgin,sus ses delir
admin bey acayip sövüyorlar bilmediğim küfürler öğrendim ,kizgin,admin bey acayip söv bil küfür öğren
türkiye küfürler inliyor an şerefsizler hain sürüsü ,kizgin,türki küfür inl an şeref hain sürü
hayat cinnet geçir ısrarla olay çıkartıyor karşıma ,kizgin,hayat cinnet geçir ısrar olay çıkart karşı
tbmm kürsüsünden sert sözler demirören ekibi türk futbolundan defolup gitsin ,kizgin,tbmm kürsü sert söz demirören ekib türk futbol defol git
sosyal medya dedikoduları baymaya başladı ağız dolusu küfür edeceğim yeter ,kizgin,sosyal medya dedikodu bay başla ağız dolusu küfür ed yeter
soruyorum mal mısınız amk ,kizgin,sor mal mı amk
terörden beslenen övünen geçinen destek veren destek yanında duran göz yuman varsa allah belasını versin ,kizgin,terör beslenen övün geçin destek ver destek yanında dur göz yum var allah bela ver
tl yiyin devletin malı yiyin yemeyen keriz anlayamıyorum insanlar sinirden öldürücek ,kizgin,tl yi devlet mal yi ye keriz anla insan sinir öldürücek
kızlar salak mısınız gidin okuyun mal evleniyorsunuz ,kizgin,kız salak mı gid oku mal evlen
allah kimseyi gerizekalı insanlarla sınamasın ,kizgin,allah kimse gerizekalı insan sın
birşeye sinirlendim lan ,kizgin,birşey sinirlen lan
öğrencilerime test çözdürürken hata yaptıklarında aynur hocam deliriyorum ,kizgin,öğrenci test çöz hata yap aynur hoca delir
nefretimiz elektriğe dönüştürülebilseydi dünyayı aydınlatmaya yeterdi ,kizgin,nefret elektriğ dönüş dünya aydınlat yet
bomboş saçma bugün öfkeliyim ,kizgin,bomboş saçma bugün öfke
bayern madrid çıkamazmış davranıyor delireceğim ,kizgin,bayern madrid çık davran delir
insanlar doğarken sonradan gerizekalı bilemiyorum iyice araştırmak lazım ,kizgin,insan doğ sonradan gerizekalı bil iyi araştır lazım
fake değilim bas bas bağıracağım ,kizgin,fake değil bas bas bağır
derse gidemedim delireceğim ,kizgin,der gid delir
yaşadığım sürece negredoya küfür edeceğim ,kizgin,yaşa süre negredo küfür ed
susarak asil illa küfür edeceğim ,kizgin,sus asil illa küfür ed
konserden hepinize küfür edeceğim nefret yorumları yapanlar şuan jong dinlemem lazım ,kizgin,konser hep küfür ed nefret yorum yap şua jong dinle lazım
hay sikeyim yorumcuyu para veriyorlar sinir oluyorum lan ,kizgin,hay sik yorum par ver sinir ol lan
ıslıklayanları küfür edenleri görevliler yaka paça dışarı atsın ,kizgin,ıslıkla küfür ed görev yak paça dışarı at
hocam insan bilmese haddini bilmelidir bilmeyenler sinirlendiriyor ,kizgin,hoca insan bil hadd bil bil sinirlen
okula makyaj yapıp geliyosunuz kardeşim mal mısınız ,kizgin,okul makyaj yap geliyosunuz kardeş mal mı
birisinden nefret ediyorum ,kizgin,biri nefret ed
eğitim sistemi cidden berbat saçma sapan gerizekalı sistem ,kizgin,eğitim sistem cidden berbat saçma sap gerizekalı sistem
bağıracağım olsan bari ,kizgin,bağır ol bari
tespihimi kaybettim bulamıyorum saattir delireceğim ,kizgin,tespih kaybet bul saat delir
saattir uyumaya çalışıyorum tık yok imdat bağıracağım ,kizgin,saat uyu çalış tık yok imdat bağır
lan kadın jungkooka yürümemiş koşmuş uçmuş bak sinirlendim ,kizgin,lan kadın jungkooka yürü koş uç bak sinirlen
özelden arıyorsunuz konuşmuyorsunuz amk mal mısınız ,kizgin,özel ar konuş amk mal mı
uykumu getirsin küfür edeceğim ,kizgin,uyku getir küfür ed
gerizekalının tekisin anlatsam anlayamazsın ,kizgin,gerizekalı tek anlat anla
insanlara kuş beyinli dediğim kuşlara hakaret ettiğimi düşünüyorum ,kizgin,insan kuş beyin de kuş hakaret et düşün
allahım yediğimiz gole bak çıldıracağım yeter ,kizgin,allah ye gol bak çıldır yeter
kadına şiddet zavallılık cahilliktir gerizekalılar ,kizgin,kadı şiddet zavallı cahil gerizekalı
kendimi karşıma alıp konuşmak istiyorum bak gerizekalı iş olmaz ,kizgin,kendi karşı al konuş ist bak gerizekalı iş olmaz
oğuzhan ağır küfür edeceğim kaldı ,kizgin,oğuzhan ağır küfür ed kal
mutsuz korkağım kendime kızıyorum ,kizgin,mutsuz korkağ kendi kız
kuzenime ödev yaptırıyorum birazdan çıldıracağım sanırım ,kizgin,kuzen ödev yap birazdan çıldır san
koysana tolgayı yeter çıldıracağım kafayı yiyorum ,kizgin,koy tolga yeter çıldır kafa yi
insanın yaşam enerjisini anda alıp götüren sinir ediyor ,kizgin,insa yaşam enerji an al götür sinir ed
kendimden nefret etmek sebep buldum üzgün olduğumda yapacağım belli olmuyor ,kizgin,kendi nefret et sebep bul üzgün ol yap belli ol
anlasın yeter çıldıracağım ,kizgin,anla yeter çıldır
yeter karadenizliyle evlendirip dağlara salın çıldıracağım yeter ,kizgin,yeter karadeniz evlen dağ sal çıldır yeter
durduk yere gözüm kanlandı çıldıracağım nazar değdirmeyin yeter ,kizgin,dur yer göz kanlan çıldır nazar değdir yeter
büyük küfür edeceğim zor tutuyorum kendimi ,kizgin,büyük küfür ed zor tut kendi
saat su yok çıldıracağım ,kizgin,saat su yok çıldır
gizem yokken yapasım gelmiyor çıldıracağım ,kizgin,gizem yok yap gel çıldır
telefonumun ekranı tuzla buz oldu anlık kalp krizleri sinir krizlerini atlattım onlaynım ,kizgin,telefon ekran tuzla buz ol anlık kalp kriz sinir kriz atlat onlaynım
bak küfür edeceğim kaldı mal beyinliler ,kizgin,bak küfür ed kal mal beyin
haksızlığı yapanların cehennemde yanacağına şüphem yok ,kizgin,hak yap cehennem yan şüphe yok
vurun ölmedim bağıracağım ,kizgin,vur öl bağır
abi yavaş tutkusuzuz çıldıracağım ,kizgin,abi yavaş tutku çıldır
çantamda esneyen terliğimle dışarı çıkıp doğru durmayan varsa ağzına ağzına vurmak istiyorum ,kizgin,çanta esne terliğ dışarı çık doğru dur var ağz ağz vur ist
hoca bitir özeti bitir fazla bekleyemiyorum çıldıracağım ,kizgin,ho bitir özet bitir fazla bekle çıldır
iddaa lira kaybedip yattı sövenlere sövüyorum ,kizgin,iddaa lira kaybed yat söven söv
gezme kelimesini alışveriş algılayan kızlara hayli sövüyorum ,kizgin,gez kelime alışveriş algıla kız hayli söv
yağmasın saçımın fönü bozuluyor diyenlerin cidden ağzına vurmak istiyorum ,kizgin,yağ saç fön bozul di cidden ağz vur ist
trabzona yenildik düşündükçe sövüyorum sövdükçe sövüyorum yok arkadaş ,kizgin,trabzon ye düşün söv söv söv yok arkadaş
ülke gerizekalı dolu hal olunca zekasızlar buluyor isyanda edemez olduk ,kizgin,ülke gerizekalı dolu hal ol zeka bul isyan ed ol
gerizekalı insan sitede kötü atlara binip defolup gitse keşke ,kizgin,gerizekalı insan site kötü at bin defol git keşke
mal insanlar dünyada ,kizgin,mal insan dünyada
kış mevsimi sevenleri kınıyorum içerliyorum kış mevsimi sevenlere sövüyorum ,kizgin,kış mevsim seven kın içerl kış mevsim seven söv
kıza soru atıyorum yapamadım diyorki attın indiricem kızım mal ,kizgin,kız soru at yap diyorki at indiricem kız mal
çaresizliğin anasına bacısına sövüyorum bok kafalı çaresizlik ,kizgin,çare ana bacı söv bok kafa çare
kendimi karşıma alıp konuşmak istiyorum bak gerizekalı iş olmaz ,kizgin,kendi karşı al konuş ist bak gerizekalı iş olmaz
gerizekalı prim anlamayacağımızı sanıyor ,kizgin,gerizekalı prim anla san
annemden boşuna yemek yapmayı öğrendim gerizekalı ,kizgin,anne boşuna yemek yap öğren gerizekalı
sinirden delireceğim ,kizgin,sinir delir
devamsızlığımı girersin amk mal ,kizgin,devam gir amk mal
,kizgin,nan
mal lan sinirimi bozuyorsun ,kizgin,mal lan sinir boz
